state,response,coverage,education,effective_to_date,employment_status,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size,Month,Day
Oregon,No,Basic,Master or above,2011-02-10,Employed,F,Urban,Married,Personal Auto,L2,2,Call Center,Four-Door Car,Small,February,Thursday
Arizona,No,Basic,High School or Below,2011-02-22,Unemployed,F,Suburban,Married,Personal Auto,L3,1,Branch,Luxury Car/SUV,Small,February,Tuesday
Washington,No,Basic,Bachelor,2011-01-05,Employed,F,Urban,Married,Personal Auto,L3,3,Branch,Four-Door Car,Medsize,January,Wednesday
California,No,Extended,High School or Below,2011-02-27,Employed,F,Rural,Married,Personal Auto,L3,1,Agent,Four-Door Car,Large,February,Sunday
Nevada,Yes,Basic,High School or Below,2011-01-24,Unemployed,M,Suburban,Married,Personal Auto,L1,2,Web,Sports Car,Medsize,January,Monday
California,Yes,Basic,Bachelor,2011-01-13,Employed,M,Suburban,Divorced,Personal Auto,L1,1,Agent,Four-Door Car,Medsize,January,Thursday
California,No,Basic,Bachelor,2011-02-17,Employed,M,Suburban,Married,Personal Auto,L3,3,Call Center,Four-Door Car,Medsize,February,Thursday
California,Yes,Basic,Bachelor,2011-01-02,Retired,M,Suburban,Divorced,Personal Auto,L3,1,Agent,Four-Door Car,Medsize,January,Sunday
Arizona,No,Basic,Master or above,2011-02-21,Unemployed,F,Suburban,Divorced,Personal Auto,L2,1,Agent,SUV,Medsize,February,Monday
California,Yes,Extended,High School or Below,2011-02-24,Unemployed,F,Suburban,Married,Personal Auto,L1,1,Agent,Four-Door Car,Large,February,Thursday
California,No,Basic,Master or above,2011-02-27,Employed,F,Rural,Single,Special Auto,L3,2,Branch,Two-Door Car,Medsize,February,Sunday
Oregon,No,Basic,High School or Below,2011-02-10,Unemployed,F,Suburban,Single,Personal Auto,L1,3,Call Center,SUV,Large,February,Thursday
Washington,No,Premium,High School or Below,2011-02-02,Unemployed,F,Suburban,Married,Special Auto,L2,1,Web,Four-Door Car,Large,February,Wednesday
Nevada,Yes,Basic,Master or above,2011-01-29,Employed,M,Rural,Divorced,Personal Auto,L3,1,Agent,Four-Door Car,Large,January,Saturday
Oregon,No,Basic,College,2011-01-29,Employed,F,Urban,Married,Personal Auto,L3,2,Agent,Four-Door Car,Medsize,January,Saturday
Arizona,Yes,Basic,College,2011-02-26,Employed,F,Rural,Married,Personal Auto,L3,1,Agent,SUV,Medsize,February,Saturday
Oregon,No,Premium,College,2011-01-08,Unemployed,M,Suburban,Divorced,Personal Auto,L2,1,Agent,Four-Door Car,Medsize,January,Saturday
Arizona,No,Basic,Master or above,2011-02-05,Employed,F,Rural,Divorced,Personal Auto,L3,3,Call Center,Four-Door Car,Medsize,February,Saturday
Oregon,No,Basic,Bachelor,2011-02-13,Employed,M,Rural,Divorced,Corporate Auto,L3,1,Agent,Four-Door Car,Large,February,Sunday
Oregon,No,Basic,College,2011-02-25,Employed,F,Rural,Married,Personal Auto,L1,1,Call Center,Two-Door Car,Small,February,Friday
California,No,Basic,Bachelor,2011-02-05,Employed,M,Urban,Married,Personal Auto,L3,3,Branch,Four-Door Car,Medsize,February,Saturday
Oregon,No,Basic,High School or Below,2011-02-14,Unemployed,F,Suburban,Married,Corporate Auto,L3,4,Web,SUV,Medsize,February,Monday
California,Yes,Basic,College,2011-01-01,Retired,M,Suburban,Married,Corporate Auto,L1,2,Agent,Two-Door Car,Medsize,January,Saturday
Nevada,No,Premium,High School or Below,2011-02-20,Unemployed,M,Suburban,Single,Corporate Auto,L3,1,Agent,Four-Door Car,Large,February,Sunday
California,No,Extended,College,2011-01-29,Employed,M,Suburban,Married,Personal Auto,L1,1,Agent,SUV,Medsize,January,Saturday
Washington,Yes,Basic,High School or Below,2011-02-20,Medical Leave,M,Suburban,Single,Personal Auto,L3,1,Call Center,SUV,Medsize,February,Sunday
California,No,Premium,Bachelor,2011-02-07,Employed,F,Suburban,Married,Personal Auto,L3,1,Call Center,SUV,Medsize,February,Monday
Oregon,No,Basic,Master or above,2011-02-22,Employed,M,Suburban,Divorced,Special Auto,L2,1,Web,Four-Door Car,Medsize,February,Tuesday
Oregon,No,Basic,Master or above,2011-01-02,Employed,F,Rural,Married,Personal Auto,L3,4,Agent,Sports Car,Small,January,Sunday
Arizona,No,Extended,Bachelor,2011-01-05,Employed,M,Rural,Married,Special Auto,L2,2,Web,Four-Door Car,Medsize,January,Wednesday
Arizona,No,Basic,High School or Below,2011-01-07,Unemployed,F,Suburban,Married,Personal Auto,L2,3,Call Center,Four-Door Car,Medsize,January,Friday
California,Yes,Basic,High School or Below,2011-01-02,Employed,M,Suburban,Married,Personal Auto,L2,2,Call Center,Four-Door Car,Small,January,Sunday
Nevada,No,Premium,Master or above,2011-01-17,Employed,M,Urban,Married,Corporate Auto,L3,2,Call Center,Four-Door Car,Small,January,Monday
Oregon,Yes,Basic,College,2011-01-21,Employed,M,Suburban,Married,Personal Auto,L3,2,Branch,SUV,Small,January,Friday
Nevada,No,Premium,Master or above,2011-02-22,Employed,F,Urban,Married,Corporate Auto,L3,1,Agent,Four-Door Car,Medsize,February,Tuesday
California,No,Basic,College,2011-02-04,Employed,F,Suburban,Married,Corporate Auto,L3,1,Agent,Four-Door Car,Medsize,February,Friday
Nevada,No,Basic,High School or Below,2011-02-07,Unemployed,F,Suburban,Single,Personal Auto,L3,1,Web,Four-Door Car,Medsize,February,Monday
Oregon,Yes,Basic,College,2011-01-20,Employed,F,Urban,Married,Personal Auto,L3,2,Agent,Four-Door Car,Medsize,January,Thursday
Washington,No,Basic,High School or Below,2011-02-22,Employed,M,Suburban,Single,Personal Auto,L3,2,Branch,Four-Door Car,Large,February,Tuesday
California,No,Basic,College,2011-01-01,Employed,F,Urban,Married,Personal Auto,L3,2,Call Center,Two-Door Car,Medsize,January,Saturday
Oregon,No,Basic,Bachelor,2011-02-14,Employed,F,Suburban,Married,Personal Auto,L3,2,Web,Two-Door Car,Large,February,Monday
California,No,Extended,Bachelor,2011-01-22,Unemployed,F,Suburban,Married,Personal Auto,L3,2,Web,Four-Door Car,Small,January,Saturday
California,No,Extended,College,2011-01-30,Employed,F,Rural,Single,Personal Auto,L3,4,Web,Sports Car,Medsize,January,Sunday
Nevada,No,Extended,High School or Below,2011-01-18,Employed,M,Suburban,Single,Personal Auto,L3,1,Branch,Two-Door Car,Small,January,Tuesday
Arizona,No,Extended,High School or Below,2011-02-22,Unemployed,M,Suburban,Single,Personal Auto,L1,1,Agent,Two-Door Car,Medsize,February,Tuesday
Oregon,No,Basic,College,2011-01-03,Medical Leave,F,Suburban,Married,Personal Auto,L2,1,Agent,Four-Door Car,Medsize,January,Monday
California,No,Basic,Bachelor,2011-01-10,Unemployed,M,Urban,Married,Personal Auto,L1,1,Branch,Four-Door Car,Medsize,January,Monday
California,Yes,Basic,College,2011-01-28,Employed,M,Rural,Married,Personal Auto,L3,1,Branch,Four-Door Car,Medsize,January,Friday
Oregon,Yes,Extended,High School or Below,2011-02-20,Employed,M,Rural,Divorced,Corporate Auto,L2,1,Agent,Four-Door Car,Medsize,February,Sunday
California,Yes,Premium,Bachelor,2011-01-05,Retired,F,Suburban,Married,Personal Auto,L3,1,Agent,Luxury Car/SUV,Medsize,January,Wednesday
Oregon,No,Basic,College,2011-02-18,Employed,M,Rural,Married,Special Auto,L3,2,Branch,SUV,Medsize,February,Friday
Oregon,No,Basic,High School or Below,2011-02-04,Employed,F,Suburban,Married,Personal Auto,L1,2,Branch,Four-Door Car,Small,February,Friday
California,No,Basic,College,2011-02-24,Medical Leave,M,Suburban,Married,Personal Auto,L3,4,Call Center,Two-Door Car,Medsize,February,Thursday
California,No,Extended,College,2011-02-26,Employed,F,Suburban,Married,Special Auto,L2,2,Branch,Four-Door Car,Small,February,Saturday
Washington,No,Basic,Bachelor,2011-02-13,Employed,F,Suburban,Married,Personal Auto,L3,1,Agent,Four-Door Car,Medsize,February,Sunday
Arizona,No,Basic,Master or above,2011-02-13,Employed,M,Suburban,Married,Personal Auto,L3,4,Branch,Four-Door Car,Small,February,Sunday
Arizona,Yes,Premium,High School or Below,2011-02-27,Employed,M,Suburban,Single,Personal Auto,L3,1,Agent,Four-Door Car,Medsize,February,Sunday
California,No,Basic,Master or above,2011-02-06,Employed,F,Urban,Divorced,Personal Auto,L1,3,Web,Two-Door Car,Medsize,February,Sunday
Washington,No,Basic,High School or Below,2011-01-29,Employed,M,Urban,Divorced,Personal Auto,L2,1,Call Center,Four-Door Car,Medsize,January,Saturday
Nevada,No,Basic,Bachelor,2011-01-19,Unemployed,M,Suburban,Single,Corporate Auto,L2,2,Call Center,SUV,Medsize,January,Wednesday
Oregon,No,Basic,Bachelor,2011-01-03,Employed,M,Suburban,Divorced,Corporate Auto,L3,1,Call Center,SUV,Medsize,January,Monday
Oregon,No,Extended,College,2011-01-16,Employed,F,Rural,Married,Personal Auto,L3,2,Branch,Two-Door Car,Medsize,January,Sunday
Oregon,No,Premium,Bachelor,2011-02-27,Employed,M,Suburban,Married,Corporate Auto,L3,1,Branch,Four-Door Car,Medsize,February,Sunday
Oregon,No,Extended,College,2011-01-24,Unemployed,M,Suburban,Single,Personal Auto,L2,2,Web,SUV,Small,January,Monday
Oregon,No,Basic,Bachelor,2011-02-22,Employed,M,Rural,Single,Personal Auto,L3,3,Branch,SUV,Medsize,February,Tuesday
Arizona,No,Basic,Bachelor,2011-01-09,Employed,F,Urban,Divorced,Personal Auto,L1,1,Agent,Four-Door Car,Medsize,January,Sunday
Oregon,Yes,Extended,Bachelor,2011-01-27,Unemployed,F,Suburban,Divorced,Personal Auto,L2,1,Call Center,Two-Door Car,Large,January,Thursday
Washington,No,Extended,College,2011-02-28,Unemployed,F,Suburban,Married,Personal Auto,L1,1,Branch,Four-Door Car,Small,February,Monday
Arizona,No,Basic,High School or Below,2011-01-09,Unemployed,M,Suburban,Single,Personal Auto,L3,2,Call Center,Two-Door Car,Medsize,January,Sunday
Washington,No,Extended,College,2011-01-16,Employed,F,Rural,Married,Personal Auto,L3,1,Branch,SUV,Medsize,January,Sunday
Oregon,No,Extended,Bachelor,2011-01-14,Employed,F,Rural,Married,Personal Auto,L2,2,Call Center,Two-Door Car,Medsize,January,Friday
Oregon,No,Basic,Bachelor,2011-02-26,Unemployed,M,Suburban,Married,Corporate Auto,L3,1,Branch,Two-Door Car,Medsize,February,Saturday
California,Yes,Basic,Master or above,2011-01-31,Employed,M,Rural,Divorced,Special Auto,L3,2,Branch,Four-Door Car,Small,January,Monday
Washington,No,Basic,College,2011-01-24,Employed,F,Urban,Married,Personal Auto,L2,2,Agent,Four-Door Car,Medsize,January,Monday
California,Yes,Extended,High School or Below,2011-01-20,Retired,F,Suburban,Married,Corporate Auto,L2,2,Agent,Four-Door Car,Large,January,Thursday
California,No,Basic,High School or Below,2011-01-01,Unemployed,F,Suburban,Married,Personal Auto,L2,1,Branch,Four-Door Car,Medsize,January,Saturday
Arizona,No,Basic,High School or Below,2011-01-08,Employed,F,Rural,Married,Personal Auto,L3,2,Agent,SUV,Small,January,Saturday
California,No,Basic,College,2011-02-03,Employed,F,Suburban,Married,Corporate Auto,L3,2,Agent,Four-Door Car,Medsize,February,Thursday
Oregon,No,Basic,College,2011-01-02,Unemployed,F,Suburban,Married,Personal Auto,L3,3,Agent,Two-Door Car,Medsize,January,Sunday
Oregon,No,Basic,Bachelor,2011-01-06,Employed,M,Urban,Married,Personal Auto,L3,2,Web,Two-Door Car,Medsize,January,Thursday
Arizona,No,Extended,High School or Below,2011-01-15,Unemployed,F,Suburban,Single,Personal Auto,L2,1,Agent,SUV,Medsize,January,Saturday
California,No,Basic,High School or Below,2011-01-29,Employed,F,Suburban,Married,Personal Auto,L3,3,Branch,Four-Door Car,Small,January,Saturday
California,No,Basic,Bachelor,2011-02-14,Employed,F,Suburban,Married,Personal Auto,L2,2,Web,Four-Door Car,Medsize,February,Monday
Oregon,No,Basic,College,2011-01-02,Employed,F,Urban,Married,Personal Auto,L3,1,Agent,SUV,Medsize,January,Sunday
California,No,Extended,High School or Below,2011-01-02,Employed,F,Suburban,Married,Personal Auto,L3,1,Branch,Two-Door Car,Medsize,January,Sunday
Arizona,No,Premium,High School or Below,2011-02-22,Employed,M,Suburban,Married,Personal Auto,L1,3,Branch,Four-Door Car,Small,February,Tuesday
Oregon,No,Basic,College,2011-01-15,Unemployed,M,Rural,Married,Corporate Auto,L1,2,Agent,Four-Door Car,Medsize,January,Saturday
Arizona,No,Basic,College,2011-02-14,Unemployed,F,Suburban,Divorced,Corporate Auto,L1,1,Agent,Four-Door Car,Small,February,Monday
Oregon,No,Basic,Bachelor,2011-02-18,Employed,F,Rural,Married,Personal Auto,L2,1,Agent,Four-Door Car,Medsize,February,Friday
Oregon,No,Extended,High School or Below,2011-01-12,Employed,M,Suburban,Married,Personal Auto,L3,2,Branch,Four-Door Car,Medsize,January,Wednesday
Oregon,No,Basic,Bachelor,2011-01-16,Employed,M,Suburban,Divorced,Personal Auto,L2,2,Call Center,Four-Door Car,Medsize,January,Sunday
Nevada,No,Extended,Bachelor,2011-01-23,Employed,M,Suburban,Single,Personal Auto,L3,1,Agent,Four-Door Car,Medsize,January,Sunday
Arizona,No,Basic,College,2011-01-07,Employed,M,Suburban,Married,Personal Auto,L2,2,Branch,Two-Door Car,Medsize,January,Friday
Arizona,No,Extended,Master or above,2011-01-04,Employed,M,Urban,Single,Personal Auto,L1,2,Branch,SUV,Medsize,January,Tuesday
Oregon,No,Extended,Master or above,2011-01-03,Employed,F,Rural,Married,Personal Auto,L3,1,Agent,SUV,Medsize,January,Monday
California,Yes,Basic,High School or Below,2011-01-19,Medical Leave,F,Suburban,Married,Corporate Auto,L2,2,Call Center,SUV,Medsize,January,Wednesday
Oregon,No,Basic,Bachelor,2011-01-28,Employed,M,Rural,Married,Special Auto,L2,3,Agent,Four-Door Car,Medsize,January,Friday
Oregon,No,Premium,High School or Below,2011-01-24,Employed,F,Suburban,Divorced,Personal Auto,L3,1,Agent,Two-Door Car,Medsize,January,Monday
California,No,Premium,Bachelor,2011-01-08,Employed,F,Suburban,Married,Personal Auto,L2,2,Agent,Four-Door Car,Medsize,January,Saturday
Arizona,No,Extended,College,2011-02-23,Employed,F,Suburban,Married,Personal Auto,L3,2,Web,Four-Door Car,Small,February,Wednesday
Oregon,No,Extended,Bachelor,2011-01-23,Employed,F,Urban,Married,Personal Auto,L2,1,Agent,Four-Door Car,Medsize,January,Sunday
Arizona,No,Basic,Master or above,2011-01-31,Employed,F,Rural,Married,Personal Auto,L3,4,Web,Two-Door Car,Medsize,January,Monday
Arizona,No,Basic,College,2011-01-16,Employed,M,Suburban,Married,Personal Auto,L2,1,Agent,Four-Door Car,Medsize,January,Sunday
Oregon,Yes,Basic,Bachelor,2011-02-14,Employed,F,Urban,Married,Personal Auto,L3,2,Agent,Four-Door Car,Medsize,February,Monday
Washington,No,Basic,High School or Below,2011-01-12,Unemployed,M,Suburban,Single,Personal Auto,L3,4,Branch,Four-Door Car,Medsize,January,Wednesday
California,Yes,Premium,Bachelor,2011-01-28,Employed,F,Suburban,Single,Personal Auto,L2,1,Branch,Two-Door Car,Medsize,January,Friday
Oregon,Yes,Premium,High School or Below,2011-02-27,Employed,M,Suburban,Single,Personal Auto,L3,1,Agent,Four-Door Car,Medsize,February,Sunday
Arizona,No,Basic,Bachelor,2011-01-02,Unemployed,M,Suburban,Married,Corporate Auto,L1,2,Web,Four-Door Car,Medsize,January,Sunday
Nevada,No,Extended,College,2011-01-02,Unemployed,M,Suburban,Single,Personal Auto,L2,3,Agent,Two-Door Car,Medsize,January,Sunday
Washington,No,Basic,Master or above,2011-01-29,Employed,M,Rural,Married,Personal Auto,L1,2,Agent,SUV,Medsize,January,Saturday
Oregon,No,Extended,College,2011-01-11,Employed,F,Rural,Married,Personal Auto,L3,1,Agent,Four-Door Car,Medsize,January,Tuesday
California,Yes,Basic,College,2011-02-22,Unemployed,F,Suburban,Divorced,Personal Auto,L3,1,Branch,Four-Door Car,Small,February,Tuesday
California,No,Basic,College,2011-01-15,Employed,M,Rural,Divorced,Corporate Auto,L3,2,Web,Four-Door Car,Large,January,Saturday
Nevada,No,Basic,Bachelor,2011-02-12,Employed,F,Rural,Married,Personal Auto,L3,1,Agent,Sports Car,Large,February,Saturday
California,No,Basic,High School or Below,2011-02-27,Employed,M,Urban,Married,Personal Auto,L3,3,Call Center,SUV,Medsize,February,Sunday
Oregon,No,Extended,High School or Below,2011-02-04,Employed,F,Urban,Married,Personal Auto,L2,4,Agent,Two-Door Car,Medsize,February,Friday
California,No,Basic,High School or Below,2011-01-17,Employed,M,Rural,Married,Personal Auto,L3,2,Agent,SUV,Medsize,January,Monday
Oregon,No,Premium,Bachelor,2011-01-10,Employed,M,Suburban,Married,Personal Auto,L3,2,Branch,Four-Door Car,Medsize,January,Monday
California,No,Basic,College,2011-02-19,Medical Leave,F,Suburban,Married,Personal Auto,L3,1,Agent,Four-Door Car,Medsize,February,Saturday
Oregon,Yes,Basic,Bachelor,2011-01-03,Unemployed,M,Suburban,Married,Personal Auto,L1,2,Agent,Two-Door Car,Medsize,January,Monday
Arizona,No,Basic,Bachelor,2011-01-26,Employed,M,Urban,Divorced,Personal Auto,L3,3,Branch,SUV,Medsize,January,Wednesday
California,No,Premium,Bachelor,2011-02-28,Unemployed,M,Suburban,Single,Corporate Auto,L2,4,Web,SUV,Medsize,February,Monday
Nevada,No,Extended,Bachelor,2011-01-13,Unemployed,M,Suburban,Married,Personal Auto,L2,2,Branch,SUV,Small,January,Thursday
Arizona,No,Basic,Bachelor,2011-01-31,Employed,F,Rural,Married,Personal Auto,L2,3,Web,Sports Car,Medsize,January,Monday
Oregon,No,Basic,College,2011-02-16,Employed,F,Rural,Married,Corporate Auto,L3,4,Agent,Four-Door Car,Medsize,February,Wednesday
California,No,Basic,College,2011-01-08,Unemployed,M,Suburban,Single,Personal Auto,L3,2,Agent,Four-Door Car,Medsize,January,Saturday
Arizona,No,Extended,High School or Below,2011-02-03,Employed,F,Suburban,Married,Corporate Auto,L3,3,Branch,Sports Car,Medsize,February,Thursday
Washington,No,Extended,High School or Below,2011-02-11,Employed,F,Rural,Married,Corporate Auto,L3,4,Agent,Sports Car,Medsize,February,Friday
California,No,Extended,College,2011-01-10,Employed,M,Suburban,Divorced,Special Auto,L2,1,Branch,SUV,Medsize,January,Monday
California,No,Basic,Bachelor,2011-02-23,Disabled,M,Rural,Married,Personal Auto,L1,3,Agent,Two-Door Car,Medsize,February,Wednesday
California,No,Premium,College,2011-01-10,Employed,M,Suburban,Single,Personal Auto,L3,1,Branch,Four-Door Car,Small,January,Monday
California,Yes,Basic,Bachelor,2011-01-26,Medical Leave,M,Suburban,Divorced,Personal Auto,L3,1,Agent,Four-Door Car,Medsize,January,Wednesday
Oregon,No,Basic,College,2011-02-06,Employed,M,Suburban,Single,Corporate Auto,L2,2,Web,Four-Door Car,Medsize,February,Sunday
Oregon,No,Basic,College,2011-02-13,Employed,F,Rural,Married,Corporate Auto,L1,1,Call Center,SUV,Medsize,February,Sunday
California,No,Basic,High School or Below,2011-01-17,Employed,M,Rural,Single,Corporate Auto,L3,1,Agent,Four-Door Car,Medsize,January,Monday
California,No,Extended,College,2011-02-09,Employed,M,Suburban,Married,Corporate Auto,L3,4,Branch,Four-Door Car,Small,February,Wednesday
Nevada,No,Extended,Master or above,2011-01-02,Employed,M,Rural,Married,Personal Auto,L3,1,Agent,SUV,Small,January,Sunday
Washington,No,Extended,Bachelor,2011-02-26,Employed,M,Rural,Divorced,Personal Auto,L1,1,Agent,Four-Door Car,Medsize,February,Saturday
Arizona,No,Basic,Bachelor,2011-02-13,Employed,M,Rural,Married,Personal Auto,L3,1,Agent,SUV,Medsize,February,Sunday
Nevada,No,Extended,Bachelor,2011-02-22,Unemployed,M,Suburban,Divorced,Corporate Auto,L3,1,Branch,Two-Door Car,Large,February,Tuesday
Arizona,No,Basic,Bachelor,2011-02-26,Employed,M,Suburban,Single,Personal Auto,L1,3,Call Center,Four-Door Car,Medsize,February,Saturday
Arizona,No,Extended,High School or Below,2011-02-12,Employed,F,Rural,Married,Personal Auto,L1,4,Call Center,Four-Door Car,Medsize,February,Saturday
California,Yes,Basic,Bachelor,2011-01-21,Employed,M,Rural,Married,Personal Auto,L1,2,Agent,SUV,Medsize,January,Friday
Arizona,No,Basic,Bachelor,2011-02-05,Employed,M,Suburban,Divorced,Personal Auto,L3,3,Branch,Sports Car,Large,February,Saturday
Oregon,No,Extended,Bachelor,2011-02-18,Employed,F,Suburban,Divorced,Personal Auto,L3,1,Call Center,Two-Door Car,Small,February,Friday
California,No,Basic,College,2011-01-17,Unemployed,M,Suburban,Single,Personal Auto,L3,1,Call Center,Four-Door Car,Medsize,January,Monday
Oregon,No,Basic,College,2011-02-13,Employed,M,Suburban,Married,Personal Auto,L3,3,Agent,Four-Door Car,Medsize,February,Sunday
Washington,No,Extended,College,2011-02-03,Unemployed,F,Rural,Married,Personal Auto,L3,3,Branch,SUV,Medsize,February,Thursday
California,No,Basic,High School or Below,2011-02-19,Employed,F,Suburban,Married,Personal Auto,L3,2,Branch,SUV,Medsize,February,Saturday
Nevada,No,Basic,Bachelor,2011-02-25,Employed,M,Suburban,Married,Personal Auto,L2,3,Web,Four-Door Car,Medsize,February,Friday
Oregon,No,Extended,High School or Below,2011-02-19,Employed,F,Urban,Married,Personal Auto,L3,3,Agent,Four-Door Car,Medsize,February,Saturday
California,No,Basic,Bachelor,2011-02-16,Employed,F,Rural,Married,Personal Auto,L2,3,Web,Two-Door Car,Medsize,February,Wednesday
Washington,No,Basic,High School or Below,2011-02-13,Unemployed,F,Suburban,Single,Personal Auto,L1,2,Branch,Four-Door Car,Small,February,Sunday
Nevada,Yes,Basic,Master or above,2011-01-03,Employed,F,Rural,Married,Personal Auto,L1,2,Web,Four-Door Car,Large,January,Monday
Oregon,No,Basic,College,2011-02-19,Employed,F,Suburban,Married,Special Auto,L1,2,Agent,SUV,Medsize,February,Saturday
California,No,Extended,College,2011-01-22,Medical Leave,M,Suburban,Divorced,Personal Auto,L2,4,Web,Four-Door Car,Medsize,January,Saturday
Washington,No,Premium,High School or Below,2011-01-23,Unemployed,F,Suburban,Married,Personal Auto,L2,3,Branch,Two-Door Car,Medsize,January,Sunday
Arizona,No,Basic,College,2011-02-12,Employed,F,Rural,Divorced,Personal Auto,L3,1,Branch,Sports Car,Medsize,February,Saturday
California,Yes,Basic,College,2011-02-02,Medical Leave,F,Suburban,Married,Special Auto,L2,2,Call Center,Four-Door Car,Medsize,February,Wednesday
California,No,Extended,Bachelor,2011-02-24,Employed,F,Rural,Married,Personal Auto,L2,4,Branch,Four-Door Car,Medsize,February,Thursday
California,Yes,Premium,Bachelor,2011-01-05,Retired,F,Suburban,Married,Personal Auto,L1,1,Agent,Luxury Car/SUV,Medsize,January,Wednesday
Nevada,No,Basic,College,2011-02-24,Employed,F,Rural,Married,Personal Auto,L3,2,Agent,Four-Door Car,Medsize,February,Thursday
Arizona,No,Extended,High School or Below,2011-02-26,Medical Leave,M,Suburban,Married,Corporate Auto,L2,1,Branch,Luxury Car/SUV,Large,February,Saturday
Arizona,No,Basic,Bachelor,2011-01-17,Employed,F,Suburban,Married,Personal Auto,L1,2,Call Center,Four-Door Car,Medsize,January,Monday
Oregon,No,Extended,College,2011-01-22,Unemployed,M,Suburban,Divorced,Personal Auto,L3,1,Agent,Four-Door Car,Large,January,Saturday
Washington,No,Basic,High School or Below,2011-01-07,Employed,M,Urban,Single,Corporate Auto,L3,1,Branch,Luxury Car/SUV,Medsize,January,Friday
California,No,Basic,High School or Below,2011-01-18,Unemployed,F,Rural,Married,Personal Auto,L3,1,Branch,Sports Car,Medsize,January,Tuesday
California,No,Extended,High School or Below,2011-01-07,Employed,F,Rural,Married,Personal Auto,L3,1,Agent,Two-Door Car,Medsize,January,Friday
Arizona,No,Basic,College,2011-02-07,Unemployed,M,Suburban,Single,Corporate Auto,L3,2,Branch,Two-Door Car,Medsize,February,Monday
Nevada,No,Extended,High School or Below,2011-01-07,Retired,M,Suburban,Married,Personal Auto,L2,1,Branch,Two-Door Car,Small,January,Friday
Oregon,No,Basic,High School or Below,2011-01-18,Employed,F,Suburban,Married,Personal Auto,L1,4,Branch,Four-Door Car,Small,January,Tuesday
Oregon,No,Extended,Bachelor,2011-01-07,Employed,F,Suburban,Married,Corporate Auto,L3,3,Call Center,Sports Car,Large,January,Friday
California,Yes,Premium,College,2011-01-01,Employed,M,Suburban,Married,Personal Auto,L3,1,Branch,Two-Door Car,Medsize,January,Saturday
California,No,Basic,College,2011-02-13,Unemployed,F,Suburban,Married,Personal Auto,L3,2,Branch,Four-Door Car,Medsize,February,Sunday
Oregon,No,Basic,Bachelor,2011-02-10,Unemployed,M,Suburban,Single,Corporate Auto,L2,3,Branch,Four-Door Car,Medsize,February,Thursday
California,Yes,Premium,Bachelor,2011-01-28,Employed,F,Suburban,Single,Personal Auto,L3,1,Branch,Two-Door Car,Medsize,January,Friday
California,No,Basic,College,2011-02-28,Employed,F,Urban,Married,Personal Auto,L3,3,Agent,SUV,Medsize,February,Monday
Arizona,No,Premium,Bachelor,2011-01-06,Employed,M,Suburban,Single,Personal Auto,L2,1,Branch,Two-Door Car,Medsize,January,Thursday
Oregon,No,Basic,Bachelor,2011-01-20,Employed,M,Suburban,Married,Corporate Auto,L3,4,Branch,Luxury Car/SUV,Large,January,Thursday
California,Yes,Basic,High School or Below,2011-02-14,Employed,F,Rural,Single,Personal Auto,L2,2,Agent,Four-Door Car,Medsize,February,Monday
California,No,Extended,Bachelor,2011-01-31,Employed,M,Urban,Divorced,Corporate Auto,L3,1,Web,SUV,Medsize,January,Monday
Oregon,No,Extended,College,2011-01-13,Employed,M,Rural,Single,Corporate Auto,L3,3,Call Center,Four-Door Car,Medsize,January,Thursday
California,No,Extended,High School or Below,2011-01-13,Employed,F,Suburban,Married,Personal Auto,L1,2,Branch,Four-Door Car,Medsize,January,Thursday
Oregon,No,Premium,Bachelor,2011-01-16,Employed,M,Suburban,Married,Personal Auto,L3,2,Call Center,Four-Door Car,Medsize,January,Sunday
Oregon,No,Basic,High School or Below,2011-02-16,Unemployed,F,Suburban,Divorced,Personal Auto,L3,2,Agent,SUV,Medsize,February,Wednesday
California,Yes,Basic,College,2011-01-11,Unemployed,F,Suburban,Married,Corporate Auto,L3,1,Agent,SUV,Medsize,January,Tuesday
Nevada,Yes,Premium,College,2011-02-28,Unemployed,M,Suburban,Married,Corporate Auto,L3,1,Branch,Four-Door Car,Large,February,Monday
Oregon,No,Extended,College,2011-01-24,Unemployed,M,Suburban,Single,Personal Auto,L3,1,Agent,SUV,Medsize,January,Monday
California,No,Basic,High School or Below,2011-02-04,Employed,F,Rural,Married,Special Auto,L3,4,Web,Four-Door Car,Medsize,February,Friday
Arizona,No,Basic,College,2011-01-14,Unemployed,F,Suburban,Single,Corporate Auto,L2,4,Call Center,Four-Door Car,Medsize,January,Friday
Nevada,Yes,Extended,Master or above,2011-02-17,Retired,F,Suburban,Married,Personal Auto,L2,2,Agent,Two-Door Car,Medsize,February,Thursday
Oregon,No,Basic,College,2011-01-23,Unemployed,F,Suburban,Single,Personal Auto,L1,3,Branch,Four-Door Car,Medsize,January,Sunday
Arizona,Yes,Basic,College,2011-02-14,Employed,M,Suburban,Married,Special Auto,L1,2,Agent,Four-Door Car,Large,February,Monday
Washington,No,Basic,College,2011-02-20,Employed,M,Rural,Married,Personal Auto,L2,2,Branch,Four-Door Car,Medsize,February,Sunday
California,No,Basic,College,2011-01-21,Employed,M,Rural,Divorced,Personal Auto,L3,3,Branch,Two-Door Car,Large,January,Friday
